"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STUDPERTEACHER","PRY","RT","A","2014",15.612,
"AUS","STUDPERTEACHER","PRY","RT","A","2015",15.433,
"AUS","STUDPERTEACHER","PRY","RT","A","2016",15.168,
"AUS","STUDPERTEACHER","PRY","RT","A","2017",15.124,
"AUT","STUDPERTEACHER","PRY","RT","A","2014",11.95,
"AUT","STUDPERTEACHER","PRY","RT","A","2015",11.843,
"AUT","STUDPERTEACHER","PRY","RT","A","2016",11.628,
"AUT","STUDPERTEACHER","PRY","RT","A","2017",11.267,
"BEL","STUDPERTEACHER","PRY","RT","A","2014",12.723,
"BEL","STUDPERTEACHER","PRY","RT","A","2015",12.784,
"BEL","STUDPERTEACHER","PRY","RT","A","2016",12.832,
"BEL","STUDPERTEACHER","PRY","RT","A","2017",12.895,
"CAN","STUDPERTEACHER","PRY","RT","A","2014",16.57,
"CAN","STUDPERTEACHER","PRY","RT","A","2015",16.978,
"CAN","STUDPERTEACHER","PRY","RT","A","2016",16.855,
"CAN","STUDPERTEACHER","PRY","RT","A","2017",16.225,
"CZE","STUDPERTEACHER","PRY","RT","A","2014",18.677,
"CZE","STUDPERTEACHER","PRY","RT","A","2015",18.974,
"CZE","STUDPERTEACHER","PRY","RT","A","2016",19.149,
"CZE","STUDPERTEACHER","PRY","RT","A","2017",19.138,
"DNK","STUDPERTEACHER","PRY","RT","A","2014",11.859,
"DNK","STUDPERTEACHER","PRY","RT","A","2015",,"M"
"DNK","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"DNK","STUDPERTEACHER","PRY","RT","A","2017",,"M"
"FIN","STUDPERTEACHER","PRY","RT","A","2014",13.332,
"FIN","STUDPERTEACHER","PRY","RT","A","2015",13.584,
"FIN","STUDPERTEACHER","PRY","RT","A","2016",13.322,
"FIN","STUDPERTEACHER","PRY","RT","A","2017",13.667,
"FRA","STUDPERTEACHER","PRY","RT","A","2014",19.424,
"FRA","STUDPERTEACHER","PRY","RT","A","2015",,"M"
"FRA","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"FRA","STUDPERTEACHER","PRY","RT","A","2017",19.619,
