"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","PC_GDP","A","2015",1.87561246606434,
"AUT","GDEXPRD","TOT","PC_GDP","A","2014",3.08428672143724,
"AUT","GDEXPRD","TOT","PC_GDP","A","2015",3.04978546499838,
"AUT","GDEXPRD","TOT","PC_GDP","A","2016",3.12522606050642,
"AUT","GDEXPRD","TOT","PC_GDP","A","2017",3.15743071280749,
"BEL","GDEXPRD","TOT","PC_GDP","A","2014",2.38729415081635,
"BEL","GDEXPRD","TOT","PC_GDP","A","2015",2.46123413930388,
"BEL","GDEXPRD","TOT","PC_GDP","A","2016",2.55594768498794,
"BEL","GDEXPRD","TOT","PC_GDP","A","2017",2.70233836436314,
"CAN","GDEXPRD","TOT","PC_GDP","A","2014",1.71417801063917,
"CAN","GDEXPRD","TOT","PC_GDP","A","2015",1.69324455559804,
"CAN","GDEXPRD","TOT","PC_GDP","A","2016",1.6936007529744,
"CAN","GDEXPRD","TOT","PC_GDP","A","2017",1.58803982987689,
"CAN","GDEXPRD","TOT","PC_GDP","A","2018",1.55277389850933,
"CZE","GDEXPRD","TOT","PC_GDP","A","2014",1.97284723151735,
"CZE","GDEXPRD","TOT","PC_GDP","A","2015",1.92923360393648,
"CZE","GDEXPRD","TOT","PC_GDP","A","2016",1.6801452450221,
"CZE","GDEXPRD","TOT","PC_GDP","A","2017",1.79079142795452,
"DNK","GDEXPRD","TOT","PC_GDP","A","2014",2.91409347530367,
"DNK","GDEXPRD","TOT","PC_GDP","A","2015",3.05496681326841,
"DNK","GDEXPRD","TOT","PC_GDP","A","2016",3.10401406331539,
"DNK","GDEXPRD","TOT","PC_GDP","A","2017",3.04600363533353,
"FIN","GDEXPRD","TOT","PC_GDP","A","2014",3.16930609225498,
"FIN","GDEXPRD","TOT","PC_GDP","A","2015",2.89156569120561,
"FIN","GDEXPRD","TOT","PC_GDP","A","2016",2.74263790478218,
"FIN","GDEXPRD","TOT","PC_GDP","A","2017",2.7572668965394,
"FRA","GDEXPRD","TOT","PC_GDP","A","2014",2.2759166699616,
"FRA","GDEXPRD","TOT","PC_GDP","A","2015",2.26703077466121,
"FRA","GDEXPRD","TOT","PC_GDP","A","2016",2.21712912090126,
"FRA","GDEXPRD","TOT","PC_GDP","A","2017",2.18547377566542,
"DEU","GDEXPRD","TOT","PC_GDP","A","2014",2.86691120571431,
"DEU","GDEXPRD","TOT","PC_GDP","A","2015",2.91196771908189,
"DEU","GDEXPRD","TOT","PC_GDP","A","2016",2.91711545955664,
"DEU","GDEXPRD","TOT","PC_GDP","A","2017",3.03763468116888,
"GRC","GDEXPRD","TOT","PC_GDP","A","2014",0.83329728914197,
"GRC","GDEXPRD","TOT","PC_GDP","A","2015",0.96120715500764,
"GRC","GDEXPRD","TOT","PC_GDP","A","2016",0.99393756516436,
"GRC","GDEXPRD","TOT","PC_GDP","A","2017",1.13109377848735,
"HUN","GDEXPRD","TOT","PC_GDP","A","2014",1.35373157836328,
"HUN","GDEXPRD","TOT","PC_GDP","A","2015",1.36244577076072,
"HUN","GDEXPRD","TOT","PC_GDP","A","2016",1.20423284694961,
"HUN","GDEXPRD","TOT","PC_GDP","A","2017",1.34860239631663,
"ISL","GDEXPRD","TOT","PC_GDP","A","2014",1.94811128249808,
"ISL","GDEXPRD","TOT","PC_GDP","A","2015",2.19746061138907,
"ISL","GDEXPRD","TOT","PC_GDP","A","2016",2.12768982587657,
"ISL","GDEXPRD","TOT","PC_GDP","A","2017",2.10413347384689,
"IRL","GDEXPRD","TOT","PC_GDP","A","2014",1.51936552602717,
"IRL","GDEXPRD","TOT","PC_GDP","A","2015",1.18432418246274,
"IRL","GDEXPRD","TOT","PC_GDP","A","2016",1.16226794334686,
"ITA","GDEXPRD","TOT","PC_GDP","A","2014",1.34300836735258,
"ITA","GDEXPRD","TOT","PC_GDP","A","2015",1.34115342947768,
"ITA","GDEXPRD","TOT","PC_GDP","A","2016",1.37124410589505,
"ITA","GDEXPRD","TOT","PC_GDP","A","2017",1.35206061891945,
"JPN","GDEXPRD","TOT","PC_GDP","A","2014",3.40021853521083,
"JPN","GDEXPRD","TOT","PC_GDP","A","2015",3.28164920637251,
"JPN","GDEXPRD","TOT","PC_GDP","A","2016",3.15521774433083,
"JPN","GDEXPRD","TOT","PC_GDP","A","2017",3.21254035106643,
"KOR","GDEXPRD","TOT","PC_GDP","A","2014",4.28874332567582,
"KOR","GDEXPRD","TOT","PC_GDP","A","2015",4.21701706156399,
"KOR","GDEXPRD","TOT","PC_GDP","A","2016",4.22744071918508,
"KOR","GDEXPRD","TOT","PC_GDP","A","2017",4.55323946333385,
"LUX","GDEXPRD","TOT","PC_GDP","A","2014",1.26403661684072,
"LUX","GDEXPRD","TOT","PC_GDP","A","2015",1.28405319543705,
